City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
611,Meadow Lake,US,85.48,34.8014,-106.5436,broken clouds,JKL Inc. R.V Park and Storage
616,Methoni,GR,88.21,36.8197,21.7049,clear sky,Methoni Beach Hotel
617,Tiarei,PF,80.62,-17.5333,-149.3333,few clouds,Le Rocher de Tahiti
619,Flagstaff,US,82.13,35.1981,-111.6513,broken clouds,Drury Inn & Suites Flagstaff
624,Kuybyshevo,RU,76.57,47.8123,38.9073,clear sky,Мини-отель Искра
626,Ahuimanu,US,81.79,21.4447,-157.8378,few clouds,Paradise Bay Resort
635,Takikawa,JP,78.51,43.5528,141.9064,overcast clouds,Hokkaido Kodomonokuni Camping Ground
636,Bani Walid,LY,82.63,31.7566,13.9942,clear sky,منزل الصابر أبوفانة
637,Aden,YE,81.82,12.7794,45.0367,overcast clouds,Sama Emirate Hotel
639,Hikone,JP,83.53,35.25,136.25,scattered clouds,Tobaya Ryokan
640,Minervino Murge,IT,86.63,41.0843,16.0784,few clouds,B&B Le Mura
642,Cabo Rojo,PR,84.9,18.0866,-67.1457,broken clouds,Hotel Perichi's
645,Liku,ID,75.94,-0.7275,119.8922,broken clouds,Wahyu
646,Cam Ranh,VN,82.36,11.9214,109.1591,few clouds,OYO 598 Peony Hotel
649,San Quintin,MX,77.56,30.4833,-115.95,clear sky,Don Eddie's Sport Fishing Center
650,Progreso,MX,86.11,21.2833,-89.6667,broken clouds,Playa Linda Hotel
651,La Ronge,CA,86.25,55.1001,-105.2842,smoke,Northland Motor Hotel
652,Paragominas,BR,75.92,-2.9667,-47.4833,broken clouds,INOVA
656,Chilliwack,CA,82.78,49.1747,-121.9443,overcast clouds,Coast Chilliwack Hotel by APA
660,Paracuru,BR,80.62,-3.41,-39.0306,overcast clouds,Hotel Vento Brasil
661,Kloulklubed,PW,84.16,7.0419,134.2556,overcast clouds,Storyboard Beach Resort
663,Yinchuan,CN,75.7,38.4681,106.2731,broken clouds,JJ Inns - Yinchuan New Moon Square Branch
665,Isla Mujeres,MX,87.17,21.2311,-86.731,clear sky,Hotel La Joya Isla Mujeres
666,Sokoni,TZ,75.36,-6.4333,39.55,few clouds,Ujamaa Beach Resort
668,Veraval,IN,81.25,20.9,70.3667,overcast clouds,Lords Inn Somnath
671,Luis Correia,BR,77.92,-2.8792,-41.6669,overcast clouds,Hotel Amarração
